,gender,age,year,eyecolor,height,miles,brothers,sisters,computertime,exercise,exercisehours,musiccds,playgames,watchtv
1544,female,22,fourth,blue,66.0,120.0,1,0,7.0,Yes,8.0,20.0,0.0,2.0
224,male,21,third,blue,70.0,200.0,1,1,1.0,Yes,6.0,50.0,2.0,30.0
476,female,20,third,hazel,66.0,300.0,0,2,10.0,No,0.0,100.0,2.0,10.0
244,male,20,second,blue,70.0,210.0,2,0,5.0,Yes,13.0,75.0,5.0,20.0
240,female,20,third,blue,63.0,130.0,0,1,6.0,Yes,9.0,60.0,0.0,15.0
526,male,21,third,blue,72.0,140.0,1,0,3.0,No,0.0,25.0,0.0,10.0
812,female,18,first,brown,64.0,5.0,1,0,12.0,Yes,5.0,26.0,1.0,4.0
1480,male,22,second,blue,75.0,140.0,1,0,20.0,No,0.0,100.0,4.0,4.0
1198,female,22,other,green,64.0,48.0,0,1,15.0,Yes,8.0,750.0,0.0,7.5
1065,female,19,first,blue,64.0,150.0,1,1,10.0,Yes,4.0,50.0,5.0,10.0
481,female,20,third,blue,70.0,73.0,2,0,5.0,No,0.0,30.0,2.0,10.0
1669,female,19,second,brown,65.0,340.0,3,1,14.0,No,0.0,300.0,0.0,7.0
341,female,21,third,green,63.0,43.0,1,0,10.0,Yes,5.0,20.0,2.0,1.0
510,male,20,third,other,66.0,0.0,0,1,8.0,No,0.0,100.0,8.0,6.0
268,female,19,second,blue,68.0,125.0,2,1,7.0,Yes,5.0,35.0,0.0,1.0
749,female,21,third,blue,65.0,0.0,4,2,35.0,Yes,3.0,100.0,0.0,2.0
119,male,20,second,green,68.0,132.0,2,0,25.0,Yes,7.0,50.0,10.0,10.0
1783,male,20,second,blue,75.0,65.0,0,3,15.0,No,0.0,250.0,3.0,10.0
81,male,21,third,blue,75.0,15.0,2,1,7.0,Yes,4.0,100.0,10.0,10.0
2029,male,20,second,blue,73.0,220.0,1,1,15.0,No,0.0,12.0,0.0,1.0
98,male,23,other,blue,71.0,180.0,0,1,16.0,Yes,4.0,58.0,10.0,15.0
1009,male,19,first,brown,72.0,300.0,0,1,5.0,No,0.0,70.0,1.0,3.0
1087,male,21,third,blue,74.0,140.0,0,0,8.0,No,0.0,0.0,8.0,5.0
1269,female,20,third,green,68.0,600.0,1,0,3.0,Yes,5.0,75.0,0.0,7.0
1845,male,19,first,hazel,75.0,60.0,1,0,3.5,Yes,4.0,15.0,9.0,2.0
1483,female,19,third,hazel,66.0,76.0,0,1,14.0,Yes,4.0,97.0,0.0,5.0
655,male,21,third,green,71.0,135.0,1,1,8.0,Yes,3.0,156.0,10.0,6.0
1694,male,20,third,green,77.0,51.0,0,1,4.0,No,0.0,150.0,2.0,10.0
2067,female,24,other,green,64.0,141.2,0,3,40.0,No,0.0,80.0,1.0,0.0
1441,female,20,third,blue,68.0,115.0,2,1,12.0,No,0.0,57.0,3.0,1.0
1648,female,19,second,brown,66.0,120.0,1,2,12.0,Yes,7.0,50.0,0.0,10.0
1030,female,20,third,hazel,67.0,35.0,0,1,3.0,No,0.0,100.0,0.0,20.0
1397,female,19,second,brown,65.0,220.0,0,1,15.0,No,0.0,130.0,5.0,5.0
2042,female,19,first,hazel,64.0,30.0,1,3,20.0,Yes,6.0,50.0,0.0,5.0
1037,female,20,third,green,69.0,20.0,0,1,5.0,Yes,6.0,20.0,2.0,10.0
654,male,22,other,blue,72.0,110.0,1,2,15.0,Yes,4.0,150.0,1.0,14.0
306,female,19,second,brown,69.0,175.0,1,1,5.0,Yes,3.0,50.0,3.0,2.0
2017,male,21,third,brown,72.0,180.0,1,1,4.0,No,0.0,5.0,4.0,20.0
1807,male,20,second,blue,71.0,70.0,1,1,20.0,Yes,3.0,15.0,5.0,10.0
670,female,20,third,brown,69.0,100.0,1,1,4.0,Yes,2.0,10.0,1.0,3.0
525,female,22,fourth,blue,67.0,175.0,4,2,6.0,No,0.0,175.0,3.0,28.0
1023,male,20,third,blue,75.0,150.0,2,1,5.0,Yes,8.0,30.0,0.0,2.0
690,male,20,third,blue,77.0,360.0,0,1,10.0,Yes,7.0,0.0,5.0,10.0
693,female,21,fourth,brown,62.0,35.0,1,0,6.0,Yes,3.0,400.0,4.0,6.0
251,male,21,third,blue,72.0,110.0,3,0,6.0,Yes,5.0,100.0,10.0,15.0
1170,female,18,first,brown,65.0,7500.0,1,0,25.0,Yes,3.0,50.0,0.0,0.0
37,male,21,third,green,71.0,220.0,1,0,18.0,Yes,30.0,20.0,0.0,21.0
2049,male,19,first,hazel,71.0,759.0,1,1,65.0,No,0.0,4.0,20.0,15.0
405,female,20,second,blue,65.0,8.0,0,0,14.0,No,0.0,50.0,0.0,25.0
788,female,21,fourth,blue,67.0,45.0,0,2,20.0,No,0.0,40.0,1.0,4.0
1390,male,21,third,hazel,77.0,200.0,2,1,4.0,Yes,15.0,40.0,0.0,4.0
515,female,20,second,green,64.0,150.0,0,1,4.0,Yes,6.0,100.0,10.0,12.0
467,female,18,first,brown,64.0,35.0,1,0,7.5,No,0.0,100.0,0.0,15.0
2009,female,20,second,hazel,62.0,136.0,1,0,15.0,No,0.0,20.0,0.0,10.0
1718,female,19,second,green,65.0,65.0,2,0,8.0,Yes,0.0,30.0,1.0,2.0
88,male,24,first,brown,70.0,28.0,3,3,20.0,Yes,6.0,0.0,8.0,20.0
466,male,19,second,blue,73.0,120.0,3,1,15.0,Yes,10.0,1000.0,2.0,8.0
1713,female,21,fourth,green,62.0,40.0,3,0,7.0,Yes,10.0,30.0,0.0,14.0
1438,male,20,third,hazel,74.0,350.0,1,1,8.0,No,0.0,150.0,15.0,3.0
1717,female,20,third,green,65.0,30.0,1,0,10.0,No,0.0,50.0,0.0,12.0
1813,female,20,second,brown,63.0,150.0,1,1,35.0,No,0.0,10.0,0.0,21.0
1635,male,21,third,hazel,70.0,160.0,3,2,6.0,Yes,4.0,2.0,4.0,6.0
1104,female,18,first,other,68.0,10000.0,0,0,25.0,No,0.0,50.0,2.0,1.0
530,male,22,fourth,hazel,69.0,10.0,1,2,8.0,Yes,6.0,150.0,0.0,1.0
1070,female,19,second,blue,66.0,15.0,2,2,25.0,Yes,4.0,100.0,0.0,15.0
1446,male,19,second,blue,73.0,130.0,1,0,10.0,No,0.0,465.0,30.0,12.0
1899,female,22,fourth,green,64.0,170.0,0,1,12.0,Yes,3.0,100.0,0.0,7.0
238,male,22,fourth,green,67.0,35.0,0,2,0.0,No,0.0,200.0,10.0,10.0
529,female,19,second,hazel,65.0,190.0,1,0,10.0,Yes,7.0,123.0,2.0,2.0
722,male,20,third,blue,68.0,200.0,0,1,1.0,No,0.0,60.0,3.0,10.0
336,female,19,second,blue,61.0,368.0,2,0,10.0,No,0.0,60.0,2.0,5.0
35,male,22,fourth,green,74.0,120.0,2,1,10.0,No,0.0,35.0,1.0,5.0
793,female,23,other,blue,67.0,4.0,0,0,24.0,Yes,5.0,30.0,0.0,14.0
1716,female,19,second,brown,68.0,300.0,2,3,6.0,No,0.0,200.0,0.0,12.0
1049,female,20,third,brown,67.0,160.0,1,0,11.0,Yes,4.5,100.0,1.0,5.0
1313,male,20,second,blue,78.0,110.0,1,0,10.0,Yes,4.0,30.0,0.0,5.0
2051,male,24,third,blue,71.0,240.0,1,0,8.0,No,0.0,25.0,1.0,10.0
1055,male,24,other,brown,68.0,180.0,0,1,7.0,Yes,10.0,200.0,12.0,8.0
511,male,23,other,green,69.0,20.0,2,2,4.0,Yes,6.0,43.0,3.0,2.5
576,male,21,third,blue,71.0,35.0,1,1,8.0,No,0.0,10.0,10.0,10.0
539,female,19,third,blue,67.0,40.0,2,1,12.0,Yes,3.0,30.0,1.0,3.0
1734,male,22,other,blue,75.0,25.0,1,1,4.0,Yes,7.0,40.0,5.0,14.0
1667,female,19,second,blue,64.0,140.0,0,0,2.0,Yes,3.0,50.0,0.0,4.0
818,female,24,other,green,70.0,140.0,5,1,8.0,Yes,8.0,45.0,0.0,8.0
1157,female,18,first,hazel,64.0,170.0,1,1,3.0,Yes,2.5,32.0,4.0,1.0
273,female,20,third,blue,66.0,70.0,1,4,20.0,Yes,3.0,25.0,0.0,4.0
1348,male,20,second,blue,75.0,180.0,0,1,20.0,No,0.0,3.0,4.0,15.0
1511,female,26,second,green,63.0,15.0,2,2,12.0,Yes,3.0,10.0,0.0,2.0
1110,female,19,second,brown,67.0,200.0,1,1,5.0,Yes,1.0,60.0,0.0,1.0
1331,male,22,fourth,green,67.0,9.0,1,0,5.0,Yes,4.0,20.0,18.0,12.0
916,male,20,second,brown,71.0,30.0,2,0,10.0,Yes,9.0,200.0,5.0,5.0
100,female,19,second,blue,61.0,50.0,0,1,14.0,No,0.0,150.0,0.0,20.0
1798,female,20,third,green,64.0,380.0,1,1,15.0,Yes,6.0,50.0,0.0,8.0
1577,male,20,third,blue,70.0,195.0,3,1,7.0,Yes,5.0,100.0,0.0,6.0
256,female,21,fourth,brown,68.0,250.0,1,0,2.0,No,0.0,75.0,2.0,5.0
1249,female,20,second,blue,62.0,150.0,1,0,16.5,Yes,3.5,60.0,0.0,1.5
480,male,19,second,hazel,66.0,30.0,1,2,20.0,No,0.0,300.0,2.0,20.0
1710,male,19,second,blue,75.0,150.0,0,1,2.0,Yes,8.0,10.0,2.0,12.0
495,male,19,second,brown,69.0,240.0,1,1,10.0,No,0.0,215.0,2.0,2.0
1455,male,19,second,blue,73.0,235.0,2,2,10.0,No,0.0,3.0,7.0,10.0
282,male,21,fourth,brown,67.0,300.0,3,1,10.0,Yes,1.0,50.0,0.5,4.0
1161,male,23,other,hazel,72.0,155.0,0,1,14.0,Yes,12.0,400.0,1.0,10.0
718,female,21,fourth,green,66.0,40.0,1,0,10.0,Yes,4.0,150.0,0.5,4.0
1703,female,21,fourth,green,63.0,379.0,1,1,12.0,Yes,7.0,50.0,0.0,2.0
883,female,18,first,blue,61.0,25.0,0,2,6.0,No,0.0,65.0,0.0,10.0
377,male,20,second,hazel,68.0,0.0,1,1,8.0,No,0.0,90.0,2.0,9.0
419,female,20,second,brown,60.0,1700.0,0,1,4.0,No,0.0,30.0,0.0,5.0
159,male,24,third,brown,64.0,360.0,2,1,3.0,Yes,4.0,12.0,0.0,6.0
1300,female,19,second,brown,66.0,200.0,0,1,15.0,Yes,2.0,50.0,0.0,2.0
269,male,21,third,green,71.0,62.0,1,1,30.0,Yes,10.0,300.0,10.0,20.0
633,male,21,second,brown,70.0,3000.0,1,0,5.0,No,0.0,0.0,10.0,2.0
351,female,21,fourth,green,67.0,400.0,0,2,20.0,No,0.0,4.0,0.0,8.0
1189,male,21,third,blue,70.0,230.0,0,1,15.0,Yes,4.0,300.0,10.0,10.0
129,male,19,first,brown,70.0,375.0,0,1,15.0,No,0.0,300.0,5.0,5.0
40,male,18,first,green,71.0,130.0,2,1,2.0,No,0.0,15.0,2.0,25.0
922,male,20,second,blue,73.0,190.0,1,0,7.0,No,0.0,120.0,5.0,25.0
509,female,21,third,brown,70.0,90.0,0,1,2.0,No,0.0,15.0,0.0,2.0
828,male,20,second,blue,68.0,225.0,0,2,5.0,Yes,4.0,15.0,2.0,12.0
829,female,21,third,green,62.0,126.0,0,0,2.0,Yes,5.0,20.0,0.0,4.0
266,female,20,third,blue,65.0,250.0,1,0,10.0,Yes,6.0,200.0,0.0,5.0
194,female,20,second,hazel,68.0,75.0,1,0,5.0,No,0.0,100.0,7.0,5.0
1672,female,19,second,hazel,67.0,220.0,2,0,5.0,Yes,4.0,200.0,0.0,1.0
1109,female,19,second,hazel,62.0,200.0,3,2,30.0,Yes,7.0,50.0,0.0,30.0
267,female,20,second,hazel,68.0,162.5,0,0,15.0,Yes,12.0,150.0,0.0,10.0
556,female,19,second,blue,72.0,20.0,1,1,35.0,No,0.0,75.0,7.0,28.0
864,female,21,fourth,hazel,67.0,30.0,1,1,20.0,No,0.0,10.0,0.0,10.0
664,female,20,third,brown,68.0,330.0,0,2,25.0,Yes,4.0,35.0,4.0,20.0
796,female,21,third,green,67.0,189.0,1,0,15.0,Yes,6.0,35.0,1.0,10.0
1145,male,19,second,brown,71.0,35.0,0,1,30.0,No,0.0,20.0,18.0,1.0
697,male,19,second,brown,68.0,180.0,4,0,8.0,Yes,8.0,100.0,1.0,30.0
1521,male,29,fourth,other,72.0,0.0,2,0,50.0,No,0.0,300.0,0.0,10.0
1375,male,18,first,blue,71.0,150.0,0,2,10.0,Yes,10.0,20.0,3.0,1.0
1287,female,20,third,blue,63.0,60.0,3,2,35.0,No,0.0,30.0,0.0,14.0
199,female,20,third,blue,64.0,100.0,2,1,40.0,Yes,5.0,40.0,0.0,3.0
428,male,22,other,brown,69.0,15.0,0,1,10.0,No,0.0,100.0,10.0,10.0
1908,female,19,second,blue,66.0,1027.0,1,0,20.0,No,0.0,0.0,0.0,3.0
425,female,22,fourth,green,68.0,200.0,0,1,8.5,Yes,9.0,50.0,0.0,2.0
1371,female,21,third,green,70.0,45.0,0,2,4.0,No,0.0,300.0,1.0,6.0
1724,male,20,third,blue,73.0,180.0,1,1,50.0,No,0.0,5.0,25.0,15.0
382,female,22,fourth,blue,72.0,75.0,1,0,12.0,Yes,3.0,110.0,0.0,2.0
910,male,20,second,green,68.0,125.0,0,0,10.0,No,0.0,25.0,20.0,4.0
966,male,21,fourth,hazel,72.0,1.0,2,0,3.0,No,0.0,65.0,2.0,4.0
62,male,19,first,brown,68.0,20.0,2,0,10.0,No,0.0,40.0,10.0,14.0
74,female,20,third,brown,67.0,35.0,0,0,3.0,Yes,5.0,60.0,0.0,10.0
386,female,19,second,green,65.0,20.0,1,1,20.0,Yes,4.0,40.0,8.0,2.0
979,female,21,second,brown,64.0,1000.0,1,2,25.0,No,0.0,10.0,1.0,5.0
936,male,20,third,blue,69.0,1275.25,2,1,8.0,Yes,15.0,78.0,0.5,7.0
320,male,21,third,green,74.0,120.0,0,1,15.0,Yes,6.5,60.0,2.0,15.0
1335,female,19,first,blue,68.0,0.0,0,1,3.0,Yes,6.0,11.0,0.0,30.0
1793,male,20,second,green,72.0,359.0,0,1,7.0,No,0.0,10.0,11.0,19.0
753,female,22,fourth,blue,68.0,95.0,1,0,10.0,Yes,4.0,100.0,3.0,15.0
685,female,20,fourth,brown,65.0,0.0,4,4,10.0,Yes,3.0,35.0,1.0,1.0
806,female,19,"first""",blue,68.0,250.0,2,0,12.0,Yes,5.0,24.0,0.0,7.0
1676,male,20,third,blue,74.0,158.0,2,0,4.0,Yes,6.0,34.0,2.0,0.0
681,female,20,third,green,63.0,210.0,2,2,23.0,Yes,5.0,600.0,0.0,0.0
764,male,21,third,hazel,76.0,150.0,1,2,6.0,Yes,4.5,20.0,6.0,1.0
985,female,20,second,green,64.0,720.0,1,0,12.0,Yes,2.5,124.0,1.0,20.0
1203,male,21,third,blue,71.0,100.0,1,0,2.0,Yes,3.5,30.0,3.0,1.0
894,female,22,third,blue,64.0,250.0,1,4,5.0,Yes,0.0,30.0,0.0,10.0
1561,female,20,third,green,56.0,0.0,1,0,8.0,Yes,4.0,25.0,0.0,8.0
603,male,20,third,brown,65.0,0.0,1,0,10.0,No,0.0,35.0,2.0,8.0
499,female,21,third,blue,63.0,0.0,1,1,3.0,Yes,8.0,48.0,1.0,10.0
1893,female,35,fourth,green,64.0,30.0,1,0,12.0,Yes,2.5,200.0,2.0,6.0
1214,female,20,third,blue,65.0,200.0,1,0,1.0,No,0.0,300.0,0.0,15.0
1704,male,20,second,hazel,68.0,140.0,0,1,3.0,Yes,5.0,28.0,1.0,2.0
1085,female,20,second,green,68.0,150.0,0,1,49.0,No,0.0,25.0,0.0,2.0
1427,male,20,third,brown,73.0,185.0,1,0,42.0,No,0.0,10.0,8.0,3.0
365,female,19,second,green,67.0,35.0,1,0,1.0,No,0.0,57.0,2.0,10.0
1677,male,20,third,blue,71.0,350.0,0,0,15.0,Yes,9.0,150.0,0.0,2.0
73,female,38,third,hazel,67.0,40.0,1,1,4.0,Yes,7.0,30.0,14.0,14.0
1240,female,19,first,brown,67.0,90.0,1,1,20.0,Yes,6.0,10.0,3.0,10.0
1094,female,20,third,brown,65.0,166.0,1,1,10.0,No,0.0,70.0,0.3,2.0
1082,female,21,third,blue,73.0,60.0,0,4,7.5,Yes,5.0,56.0,0.0,18.0
1514,male,20,third,brown,72.0,150.0,0,1,4.0,Yes,10.0,3.0,0.0,5.0
798,female,20,second,brown,65.0,60.0,1,2,10.0,No,0.0,20.0,0.0,14.0
2015,female,19,first,hazel,69.0,180.0,1,0,14.0,Yes,4.0,60.0,0.0,5.0
1103,male,22,third,blue,68.0,240.0,0,1,3.0,Yes,2.0,10.0,0.0,3.0
1620,male,19,second,hazel,73.0,130.0,2,1,10.0,Yes,10.0,50.0,0.0,5.0
518,female,19,second,green,66.0,350.0,0,1,10.0,Yes,3.0,50.0,0.0,8.0
1002,female,20,second,hazel,67.0,23.0,1,1,5.0,Yes,5.0,100.0,1.0,10.0
1165,male,20,third,brown,74.0,50.0,3,0,3.0,Yes,3.0,75.0,3.0,16.0
527,female,21,fourth,brown,66.0,10.0,0,1,15.0,No,0.0,35.0,0.0,10.0
757,male,20,second,hazel,70.0,99.0,0,2,20.0,No,0.0,2.0,10.0,20.0
1353,male,22,fourth,hazel,78.0,120.0,2,0,20.0,No,0.0,100.0,1.0,6.0
724,male,24,other,green,70.0,456.0,1,1,15.0,No,0.0,50.0,15.0,5.0
626,female,20,third,brown,63.0,800.0,0,0,10.0,Yes,9.0,10.0,0.0,20.0
824,female,22,fourth,brown,65.0,222.0,2,1,5.0,Yes,3.0,10.0,0.0,10.0
605,male,19,second,blue,69.0,140.0,1,1,10.0,Yes,10.0,20.0,15.0,5.0
